2024-10-08 22:38:47 | ERROR    | __main__:create_agents:70 - 创建智能体代理失败，错误信息：'NoneType' object has no attribute 'bind'
2024-10-08 22:39:30 | ERROR    | __main__:create_tasks:116 - 创建任务失败，错误信息：'NoneType' object is not subscriptable
2024-10-08 22:39:30 | ERROR    | __main__:create_crew:133 - 任务执行时发生错误! 错误信息：'NoneType' object has no attribute 'values'
2024-10-08 22:42:23 | ERROR    | __main__:create_agents:71 - 创建智能体代理失败，错误信息：new_agent() missing 1 required positional argument: 'tools'
2024-10-08 22:45:03 | SUCCESS  | __main__:create_agents:49 - 作家已就绪
2024-10-08 22:45:03 | SUCCESS  | __main__:create_agents:59 - 内容编辑已就绪
2024-10-08 22:45:03 | SUCCESS  | __main__:create_agents:69 - 寄信人已就绪
2024-10-08 22:45:20 | SUCCESS  | __main__:create_tasks:98 - task1已就绪
2024-10-08 22:45:20 | SUCCESS  | __main__:create_tasks:107 - task2已就绪
2024-10-08 22:45:20 | SUCCESS  | __main__:create_tasks:115 - task3已就绪
2024-10-08 22:45:20 | SUCCESS  | __main__:create_crew:131 - crew已就绪
2024-10-08 22:45:21 | ERROR    | __main__:create_crew:136 - 任务执行时发生错误! 错误信息：Invalid API key: your_api_key
2024-10-08 22:45:42 | SUCCESS  | __main__:create_agents:49 - 作家已就绪
2024-10-08 22:45:42 | SUCCESS  | __main__:create_agents:59 - 内容编辑已就绪
2024-10-08 22:45:42 | SUCCESS  | __main__:create_agents:69 - 寄信人已就绪
2024-10-08 22:45:53 | SUCCESS  | __main__:create_tasks:98 - task1已就绪
2024-10-08 22:45:53 | SUCCESS  | __main__:create_tasks:107 - task2已就绪
2024-10-08 22:45:53 | SUCCESS  | __main__:create_tasks:115 - task3已就绪
2024-10-08 22:45:53 | SUCCESS  | __main__:create_crew:131 - crew已就绪
2024-10-08 22:46:04 | SUCCESS  | custom_tools:store_poesy_to_txt:25 - 将书信保存到txt文档成功！文件路径：poie.txt
2024-10-08 22:46:09 | SUCCESS  | custom_tools:store_poesy_to_txt:25 - 将书信保存到txt文档成功！文件路径：poie.txt
2024-10-08 22:46:16 | ERROR    | custom_tools:send_message:68 - 邮件服务器连接失败！错误信息：Connection unexpectedly closed
